prijs;discipline;jaar;laureaat;motivering
Nobelprijs;geneeskunde;1901;Emil Adolf von Behring (Dui) ;voor zijn serumtherapie om difterie te behandelen
Nobelprijs;literatuur;1901;Sully Prudhomme (Fra);in special recognition of his poetic composition, which gives evidence of lofty idealism, artistic perfection and a rare combination of the qualities of both heart and intellect
Nobelprijs;natuurkunde;1901;Wilhelm Conrad Röntgen (Dui) ;voor zijn ontdekking van de opmerkelijke röntgenstralen die later naar hem zijn vernoemd
Nobelprijs;scheikunde;1901;Jacobus Henricus van 't Hoff (Ned) ;voor zijn ontdekking van de wetten van chemische evenwichten en osmotische waarde in oplossingen
Nobelprijs;vrede;1901;Jean Henri Dunant (Zwi);stichter van het Rode Kruis en initiatiefnemer van de Geneefse Conventie
Nobelprijs;vrede;1901;Frédéric Passy (Fra);stichter en voorzitter van de Societe Française pour l'arbitrage entre nations
Nobelprijs;geneeskunde;1902;Ronald Ross (GB) ;voor onderzoek naar malaria
Nobelprijs;literatuur;1902;Theodor Mommsen (Dui);the greatest living master of the art of historical writing, with special reference to his monumental work, A History of Rome
Nobelprijs;natuurkunde;1902;Hendrik Antoon Lorentz (Ned), Pieter Zeeman (Ned) ;voor hun onderzoek naar de invloed van magnetisme op stralingsfenomenen
Nobelprijs;scheikunde;1902;Hermann Emil Fischer (Dui) ;voor zijn werk op het gebied van de suiker en purine syntheses
Nobelprijs;vrede;1902;Élie Ducommun (Zwi), Charles Albert Gobat (Zwi);ijveraars voor de vrede, eresecretarissen van het Internationaal Bureau voor de Vrede in Bern
Nobelprijs;geneeskunde;1903;Niels Ryberg Finsen (Den) ;voor zijn behandeling van lupus vulgaris door middel van licht
Nobelprijs;literatuur;1903;Bjørnstjerne Bjørnson (Noo);as a tribute to his noble, magnificent and versatile poetry, which has always been distinguished by both the freshness of its inspiration and the rare purity of its spirit
Nobelprijs;natuurkunde;1903;Antoine Henri Becquerel (Fra);voor zijn ontdekking van de spontane radioactiviteit
Nobelprijs;natuurkunde;1903;Pierre Curie (Fra), Marie Curie-Sklodowska (Fra) ;voor hun onderzoek naar de stralingsfenomenen ontdekt door Henri Becquerel
Nobelprijs;scheikunde;1903;Svante August Arrhenius (Zwe) ;voor zijn elektrolytische dissociatietheorie
Nobelprijs;vrede;1903;Sir William Randal Cremer (GB);secretaris van de Internationale Arbitrage Commissie
Nobelprijs;geneeskunde;1904;Ivan Petrovitsj Pavlov (Rus) ;voor werk aan de fysiologie van het maag-darmstelsel
Nobelprijs;literatuur;1904;Frederic Mistral (Fra);in recognition of the fresh originality and true inspiration of his poetic production, which faithfully reflects the natural scenery and native spirit of his people, and, in addition, his significant work as a Provençal philologist
Nobelprijs;literatuur;1904;Jose Echegaray Y Eizaguirre (Spa);in recognition of the numerous and brilliant compositions which, in an individual and original manner, have revived the great traditions of the Spanish drama
Nobelprijs;natuurkunde;1904;John William Strutt Rayleigh (GB) ;voor zijn onderzoek naar de dichtheid van de belangrijkste gassen en zijn ontdekking van argon in samenhang met dit onderzoek
Nobelprijs;scheikunde;1904;Sir William Ramsay (GB) ;voor zijn ontdekking van de edelgassen in lucht
Nobelprijs;vrede;1904;Institut de Droit International (Bel);
Nobelprijs;geneeskunde;1905;Robert Koch (Dui) ;voor de ontdekking van de oorzaak van tuberculose
Nobelprijs;literatuur;1905;Henryk Sienkiewicz (Pol);because of his outstanding merits as an epic writer
Nobelprijs;natuurkunde;1905;Philipp Eduard Anton von Lenard (Dui) ;voor zijn verrichtingen met betrekking tot de kathodestralen
Nobelprijs;scheikunde;1905;Johann Friedrich Wilhelm Adolf von Baeyer (Dui) ;voor zijn werk op het gebied van organische verven en aromatische samenstellingen
Nobelprijs;vrede;1905;Baronesse Bertha Sophie Felicita von Suttner (Oos);schrijfster, erevoorzitter van het Internationaal Bureau voor de Vrede
Nobelprijs;geneeskunde;1906;Camillo Golgi (Ita), Santiago Ramón y Cajal (Spa) ;voor onderzoek aan het zenuwstelsel
Nobelprijs;literatuur;1906;Giosuè Carducci (Ita);not only in consideration of his deep learning and critical research, but above all as a tribute to the creative energy, freshness of style, and lyrical force which characterize his poetic masterpieces
Nobelprijs;natuurkunde;1906;Sir Joseph John Thomson (GB) ;voor zijn theoretisch en experimenteel onderzoek naar de geleiding van elektriciteit door gassen
Nobelprijs;scheikunde;1906;Henri Moissan (Fra) ;voor zijn onderzoek naar en isolatie van het element fluor en voor zijn introductie van de naar hem genoemde elektrische oven
Nobelprijs;vrede;1906;Theodore Roosevelt (VS);president van de Verenigde Staten, voor zijn ontwerp van het vredesverdrag in de Russisch-Japanse Oorlog
Nobelprijs;geneeskunde;1907;Charles Louis Alphonse Laveran (Fra) ;voor onderzoek naar ziekteverwekkende protozoa
Nobelprijs;literatuur;1907;Rudyard Kipling (GB);in consideration of the power of observation, originality of imagination, virility of ideas and remarkable talent for narration which characterize the creations of this world-famous author
Nobelprijs;natuurkunde;1907;Albert Abraham Michelson (VS) ;voor zijn optische precisie-instrumenten en het spectroscopisch en meteorologisch onderzoek dat daarmee is uitgevoerd
Nobelprijs;scheikunde;1907;Eduard Buchner (Dui) ;voor zijn verdiensten in de gisttechnologie
Nobelprijs;vrede;1907;Ernesto Teodoro Moneta (Ita);journalist, voorzitter van de Vredesliga van Lombardije, ijveraar voor de internationale rechtsorde
Nobelprijs;vrede;1907;Louis Renault (Fra);professor Internationaal Recht
Nobelprijs;geneeskunde;1908;Ilja Iljitsj Metsjnikov (Rus), Paul Ehrlich (Dui) ;voor de bestudering van het immuunsysteem
Nobelprijs;literatuur;1908;Rudolf Christoph Eucken (Dui);in recognition of his earnest search for truth, his penetrating power of thought, his wide range of vision, and the warmth and strength in presentation with which in his numerous works he has vindicated and developed an idealistic philosophy of life
Nobelprijs;natuurkunde;1908;Gabriel Lippmann (Fra) ;voor zijn methode om kleuren fotografisch te reproduceren op het fenomeen van interferentie
Nobelprijs;scheikunde;1908;Sir Ernest Rutherford (GB/N-Z);voor zijn onderzoek naar het uiteenvallen van elementen en de chemie van radioactieve stoffen
Nobelprijs;vrede;1908;Klas Pontus Arnoldson (Zwe);stichter van de Zweedse vredesvereniging
Nobelprijs;vrede;1908;Fredrik Bajer (Den);erevoorzitter van het Internationaal Bureau voor de Vrede, voor zijn optreden tijdens de Internationale Vredesconferenties van 1899 en 1907 in Den Haag
Nobelprijs;geneeskunde;1909;Emil Theodor Kocher (Zwi) ;voor onderzoek naar de schildklier
Nobelprijs;literatuur;1909;Selma Lagerlöf (Zwe);in appreciation of the lofty idealism, vivid imagination and spiritual perception that characterize her writings
Nobelprijs;natuurkunde;1909;Guglielmo Marconi (Ita), Carl Ferdinand Braun (Dui) ;voor hun bijdragen aan de ontwikkeling van de draadloze telegrafie
Nobelprijs;scheikunde;1909;Wilhelm Ostwald (Dui) ;voor zijn verdiensten in de katalyse en voor zijn onderzoek naar chemische evenwichten en reactiesnelheden
Nobelprijs;vrede;1909;Auguste Beernaert (Bel);lid van de Cour Internationale d'Arbitrage
Nobelprijs;vrede;1909;Paul Henri Benjamin Balluet D'estournelles De Constant (Fra);stichter en voorzitter van de Franse parlementaire groep voor internationale arbitrage. Stichter van het Comité de défense des intérˆts nationaux et de conciliation internationale, Frans vertegenwoordiger bij de Internationale Vredesconferenties in Den Haag
Nobelprijs;geneeskunde;1910;Albrecht Kossel (Dui) ;voor onderzoek in de celbiologie, in het bijzonder naar prote‹nen en nucle‹nezuren
Nobelprijs;literatuur;1910;Paul Heyse (Dui);as a tribute to the consummate artistry, permeated with idealism, which he has demonstrated during his long productive career as a lyric poet, dramatist, novelist and writer of world-renowned short stories
Nobelprijs;natuurkunde;1910;Johannes Diderik van der Waals (Ned) ;voor zijn verrichtingen op het gebied van de toestandsvergelijking van gassen en vloeistoffen
Nobelprijs;scheikunde;1910;Otto Wallach (Dui) ;voor zijn verdiensten op het gebied van alicyclische samenstellingen
Nobelprijs;vrede;1910;Internationaal Bureau voor de Vrede (Zwi);
Nobelprijs;geneeskunde;1911;Allvar Gullstrand (Zwe) ;voor onderzoek naar de beeldvorming door de lens van het oog
Nobelprijs;literatuur;1911;Maurice Maeterlinck (Bel);in appreciation of his many-sided literary activities, and especially of his dramatic works, which are distinguished by a wealth of imagination and by a poetic fancy, which reveals, sometimes in the guise of a fairy tale, a deep inspiration, while in a mysterious way they appeal to the readers' own feelings and stimulate their imaginations
Nobelprijs;natuurkunde;1911;Wilhelm Wien (Dui) ;voor zijn ontdekkingen betreffende de wetten die de uitstraling van warmte bepalen
Nobelprijs;scheikunde;1911;Marie Curie-Sklodowska (Pol/Fra) ;voor haar ontdekking van radium en polonium en voor haar studie naar de aard en samenstelling van deze opmerkelijke elementen
Nobelprijs;vrede;1911;Tobias Michael Carel Asser (Ned);mede-initiatiefnemer en voorzitter van de Haagse Vredesconferenties in 1899 en in 1907
Nobelprijs;vrede;1911;Alfred Hermann Fried (Oos);stichter van Die Waffen Nieder (De wapens neer)
Nobelprijs;geneeskunde;1912;Alexis Carrel (VS) ;voor onderzoek naar de hechting van bloedvaten en transplantatie
Nobelprijs;literatuur;1912;Gerhart Hauptmann (Dui);primarily in recognition of his fruitful, varied and outstanding production in the realm of dramatic art
Nobelprijs;natuurkunde;1912;Nils Gustaf Dalén (Zwe) ;voor zijn ontdekking van de automatische regulatoren de samen met gasaccumulators kunnen worden gebruikt om vuurtorens en boeien te verlichten
Nobelprijs;scheikunde;1912;Victor Grignard (Fra);voor zijn ontdekking van het Grignard reagens
Nobelprijs;scheikunde;1912;Paul Sabatier (Fra) ;voor zijn methode voor het hydrogeneren van organische verbindingen
Nobelprijs;vrede;1912;Elihu Root (VS);voor initiatief tot totstandkoming van verschillende arbitrageovereenkomsten
Nobelprijs;geneeskunde;1913;Charles Robert Richet (Fra) ;ter erkenning van zijn onderzoek naar anafylaxie
Nobelprijs;literatuur;1913;Rabindranath Tagore (Ind);because of his profoundly sensitive, fresh and beautiful verse, by which, with consummate skill, he has made his poetic thought, expressed in his own English words, a part of the literature of the West
Nobelprijs;natuurkunde;1913;Heike Kamerlingh Onnes (Ned) ;voor zijn onderzoek naar de eigenschappen van materie bij lage temperaturen, dat onder andere tot de productie van vloeibaar helium heeft geleid
Nobelprijs;scheikunde;1913;Alfred Werner (Zwi) ;voor zijn verdiensten op het gebied van de verbinding tussen atomen in moleculen
Nobelprijs;vrede;1913;Henri La Fontaine (Bel);voorzitter van het Internationaal Bureau voor de Vrede
Nobelprijs;geneeskunde;1914;Robert B r ny (Oos) ;voor onderzoek aan het vestibulair apparaat van het binnenoor
Nobelprijs;natuurkunde;1914;Max von Laue (Dui) ;voor zijn ontdekking van de diffractie van röntgenstraling door kristallen
Nobelprijs;scheikunde;1914;Theodore William Richards (VS) ;voor zijn bepaling van het atoommassa van een groot aantal elementen
Nobelprijs;literatuur;1915;Romain Rolland (Fra);as a tribute to the lofty idealism of his literary production and to the sympathy and love of truth with which he has described different types of human beings
Nobelprijs;natuurkunde;1915;Sir William Henry Bragg (GB), William Lawrence Bragg (GB) ;voor hun verdiensten op het gebied van de analyse van de kristalstructuur door middel van röntgenstraling
Nobelprijs;scheikunde;1915;Richard Martin Willstätter (Dui) ;voor zijn onderzoek naar plantpigmenten
Nobelprijs;literatuur;1916;Carl Gustaf Verner von Heidenstam (Zwe);in recognition of his significance as the leading representative of a new era in our literature
Nobelprijs;literatuur;1917;Henrik Pontoppidan (Den);for his authentic descriptions of present-day life in Denmark
Nobelprijs;literatuur;1917;Karl Adolph Gjellerup (Den);for his varied and rich poetry, which is inspired by lofty ideals
Nobelprijs;natuurkunde;1917;Charles Glover Barkla (GB) ;voor zijn ontdekking van de karakteristieke röntgenstraling van de elementen
Nobelprijs;vrede;1917;Het Internationale Rode Kruis (Zwi);
Nobelprijs;natuurkunde;1918;Max Karl Ernst Ludwig Planck (Dui) ;voor zijn verdiensten voor de vooruitgang van de natuurkunde door zijn ontdekking van energiekwanta
Nobelprijs;scheikunde;1918;Fritz Haber (Dui) ;voor zijn synthese van ammonia
Nobelprijs;geneeskunde;1919;Jules Bordet (Bel) ;voor de ontdekking van het complement in het immuunsysteem
Nobelprijs;literatuur;1919;Carl Friedrich Georg Spitteler (Zwi);in special appreciation of his epic, Olympian Spring
Nobelprijs;natuurkunde;1919;Johannes Stark (Dui) ;voor zijn ontdekking van het dopplereffect in kanaalstralen en het splitsen van spectrumlijnen in elektrische velden
Nobelprijs;vrede;1919;Thomas Woodrow Wilson (VS);voor het oprichten van de Volkerenbond
Nobelprijs;geneeskunde;1920;Schack August Steenberg Krogh (Den) ;voor het aantonen dat de gasuitwisseling in de longen normale diffusie is
Nobelprijs;literatuur;1920;Knut Pedersen Hamsun (Noo);for his monumental work, Growth of the Soil
Nobelprijs;natuurkunde;1920;Charles Edouard Guillaume (Fra) ;voor zijn verdiensten op het gebied van de precisiemeting in de natuurkunde door zijn ontdekking van anomalieën in legeringen van nikkelstaal
Nobelprijs;scheikunde;1920;Walther Hermann Nernst (Dui) ;voor zijn verdiensten op het gebied van de thermochemie
Nobelprijs;vrede;1920;Léon Victor Auguste Bourgeois (Fra);voorzitter van de Raad van de Volkerenbond
Nobelprijs;literatuur;1921;Anatole France (Fra);in recognition of his brilliant literary achievements, characterized as they are by a nobility of style, a profound human sympathy, grace, and a true Gallic temperament
Nobelprijs;natuurkunde;1921;Albert Einstein (Zwi) ;voor zijn verdiensten voor de theoretische natuurkunde, en met name voor zijn ontdekking van de wet van het foto-elektrisch effect
Nobelprijs;scheikunde;1921;Frederick Soddy (GB) ;voor zijn verdiensten op het gebied van de chemie van radioactieve substanties en zijn onderzoek naar isotopen
Nobelprijs;vrede;1921;Karl Hjalmar Branting (Zwe);premier, Zweeds afgevaardigde bij de Raad van de Volkenbond
Nobelprijs;vrede;1921;Christian Lous Lange (Noo);secretaris-generaal van de Inter-Parlementaire Unie
Nobelprijs;geneeskunde;1922;Archibald Vivian Hill (GB), Otto Fritz Meyerhof (Dui) ;voor onderzoek aan de spieren, in het bijzonder hun warmtevorming en het verband tussen de zuurstofconsumptie en het melkzuurmetabolisme
Nobelprijs;literatuur;1922;Jacinto Benavente (Spa);for the happy manner in which he has continued the illustrious traditions of the Spanish drama
Nobelprijs;natuurkunde;1922;Niels Henrik David Bohr (Den) ;voor zijn verdiensten bij het onderzoek naar de structuur van atomen en de straling die hierdoor wordt uitgezonden
Nobelprijs;scheikunde;1922;Francis William Aston (GB) ;voor zijn ontdekking van isotopen in een groot aantal niet-radioactieve elementen en voor zijn Wet van de Gehele Getallen
Nobelprijs;vrede;1922;Fridtjof Nansen (Noo);noorse afgevaardigde bij de Volkerenbond, bedenker van het Nansenpaspoort voor vluchtelingen
Nobelprijs;geneeskunde;1923;Frederick Grant Banting (Can), John James Richard Macleod (Can) ;voor de ontdekking van insuline
Nobelprijs;literatuur;1923;William Butler Yeats (Ier);for his always inspired poetry, which in a highly artistic form gives expression to the spirit of a whole nation
Nobelprijs;natuurkunde;1923;Robert Andrews Millikan (VS) ;voor zijn verrichtingen op het gebied van elementaire lading in de elektriciteit en het foto-elektrisch effect
Nobelprijs;scheikunde;1923;Fritz Pregl (Oos) ;voor zijn uitvinding van de microanalyse methode voor organische substanties
Nobelprijs;geneeskunde;1924;Willem Einthoven (Ned) ;voor de ontdekking van het mechanisme van het elektrocardiogram
Nobelprijs;literatuur;1924;Wladyslaw Reymont (Pol);for his great national epic, The Peasants
Nobelprijs;natuurkunde;1924;Karl Manne Georg Siegbahn (Zwe) ;voor zijn ontdekkingen op het gebied van de röntgenspectroscopie
Nobelprijs;literatuur;1925;George Bernard Shaw (Ier);for his work which is marked by both idealism and humanity, its stimulating satire often being infused with a singular poetic beauty
Nobelprijs;natuurkunde;1925;James Franck (Dui), Gustav Ludwig Hertz (Dui) ;voor hun ontdekking van de wetten die gelden voor de botsing van een elektron met een atoom
Nobelprijs;scheikunde;1925;Richard Adolf Zsigmondy (Dui) ;voor zijn demonstratie van de heterogene aard van collo‹doplossingen en zijn gebruikte methodes
Nobelprijs;vrede;1925;Sir Austen Chamberlain (GB);voor het Verdrag van Locarno
Nobelprijs;vrede;1925;Charles Gates Dawes (VS);voorzitter van de Geallieerde Commissie ter regeling van Duitse herstelbetalingen en bedenker van het Dawes Plan
Nobelprijs;geneeskunde;1926;Johannes Andreas Grib Fibiger (Den) ;voor het ophelderen van Spiroptera carcinoma en het kunstmatig veroorzaken van kanker in een dier
Nobelprijs;literatuur;1926;Grazia Deledda (Ita);for her idealistically inspired writings which with plastic clarity picture the life on her native island and with depth and sympathy deal with human problems in general
Nobelprijs;natuurkunde;1926;Jean Perrin (Fra) ;voor zijn werk over de discontinue structuur van de materie, en met name voor zijn ontdekking van het sedimentatie-evenwicht
Nobelprijs;scheikunde;1926;Theodor Svedberg (Zwe) ;voor zijn verdiensten op het gebied van disperse systemen
Nobelprijs;vrede;1926;Aristide Briand (Fra);voor het Verdrag van Locarno en het Briand-Kellogg Pact
Nobelprijs;vrede;1926;Gustav Stresemann (Dui);voor het Verdrag van Locarno
Nobelprijs;geneeskunde;1927;Julius Wagner-Jauregg (Oos) ;voor de ontdekking van de therapeutische waarde van inenting met malaria bij de behandeling van dementia paralytica (neurosyfilis)
Nobelprijs;literatuur;1927;Henri Bergson (Fra);in recognition of his rich and vitalizing ideas and the brilliant skill with which they have been presented
Nobelprijs;natuurkunde;1927;Arthur Holly Compton (VS);voor zijn ontdekking van het naar hem genoemde Compton-effect
Nobelprijs;natuurkunde;1927;Charles Thomson Rees Wilson (GB) ;voor zijn methode voor het het zichtbaar maken van de paden van elektrisch geladen deeltjes door de condensatie van damp
Nobelprijs;scheikunde;1927;Heinrich Otto Wieland (Dui) ;voor zijn onderzoek naar galzuur en gerelateerde substanties
Nobelprijs;vrede;1927;Ferdinand Buisson (Fra);stichter en voorzitter van de Liga voor de Rechten van de Mens
Nobelprijs;vrede;1927;Ludwig Quidde (Dui);afgevaardigde bij talloze vredesconferenties
Nobelprijs;geneeskunde;1928;Charles Jules Henri Nicolle (Fra) ;voor onderzoek naar vlektyfus
Nobelprijs;literatuur;1928;Sigrid Undset (Noo);principally for her powerful descriptions of Northern life during the Middle Ages
Nobelprijs;natuurkunde;1928;Owen Willans Richardson (GB) ;voor zijn verrichtingen op het gebied van het theoretische fenomeen en met name voor de ontdekking van de naar hem genoemde wet
Nobelprijs;scheikunde;1928;Adolf Otto Reinhold Windaus (Dui) ;voor zijn onderzoek naar sterines en hun verbinding met vitamines
Nobelprijs;geneeskunde;1929;Christiaan Eijkman (Ned), Frederick Gowland Hopkins (GB) ;voor de ontdekking van diverse vitamines
Nobelprijs;literatuur;1929;Thomas Mann (Dui);principally for his great novel, Buddenbrooks, which has won steadily increased recognition as one of the classic works of contemporary literature
Nobelprijs;natuurkunde;1929;Prince Louis-Victor Pierre Raymond de Broglie (Fra) ;voor zijn ontdekking van de golfeigenschappen van elektronen
Nobelprijs;scheikunde;1929;Arthur Harden (GB), Hans Karl August Simon von Euler-Chelpin (Dui) ;voor hun onderzoek naar de fermentatie van suiker en fermentatie-enzymen
Nobelprijs;vrede;1929;Frank Billings Kellogg (VS);voor het Briand-Kellogg Pact
Nobelprijs;geneeskunde;1930;Karl Landsteiner (Oos) ;voor de ontdekking van de menselijke bloedgroepen
